cik_year;positive_count;negative_count;positive_prop;negative_prop;net_positive_tone;total_words;cyber_mentions
14647902020;54;215;0,00325301204819277;0,01295180722891566;-0,59851301115241640;16600;0
14681742018;168;231;0,01008161305808929;0,01386221795487278;-0,15789473684210528;16664;1
147072024;63;76;0,00984067478912840;0,01187129022180569;-0,09352517985611515;6402;0
14889172022;45;35;0,00974236847802555;0,00757739770513098;0,12500000000000003;4619;3
14924222025;79;80;0,00792854275391409;0,00802890405459655;-0,00628930817610061;9964;1
14953202017;49;151;0,00591644530306689;0,01823231103598165;-0,50999999999999990;8282;8
15015702021;81;281;0,00498829905160734;0,01730508683335386;-0,55248618784530379;16238;10
15156732017;43;70;0,00635812509241461;0,01035043619695401;-0,23893805309734514;6763;0
15172282024;64;225;0,00673684210526316;0,02368421052631579;-0,55709342560553632;9500;10
15431512024;84;205;0,00778498609823911;0,01899907321594069;-0,41868512110726647;10790;8
15464172020;44;125;0,00486833370214649;0,01383049347200708;-0,47928994082840237;9038;0
156152024;110;166;0,00733724653148346;0,01107257203842049;-0,20289855072463775;14992;0
15631902024;48;164;0,00480865558004408;0,01642957323181727;-0,54716981132075471;9982;3
15808082024;24;28;0,00471142520612485;0,00549666274047900;-0,07692307692307698;5094;3
15845092024;88;151;0,00796380090497738;0,01366515837104072;-0,26359832635983260;11050;2
15908952023;84;223;0,00528667631694883;0,01403486688904273;-0,45276872964169379;15889;0
15908952024;71;179;0,00493329627570873;0,01243746525847693;-0,43199999999999994;14392;0
16017122019;63;214;0,00443474588202168;0,01506405744051809;-0,54512635379061380;14206;1
16048212020;44;87;0,00465362242199894;0,00920148069804336;-0,32824427480916035;9455;2
16174062020;70;148;0,00720016457519029;0,01522320510183090;-0,35779816513761475;9722;0
16321272020;29;61;0,00414700414700415;0,00872300872300872;-0,35555555555555557;6993;0
16436152023;44;110;0,00371214038640007;0,00928035096600017;-0,42857142857142855;11853;11
16469722024;20;65;0,00349162011173184;0,01134776536312849;-0,52941176470588236;5728;2
16507292021;83;110;0,00853558206499383;0,01131221719457014;-0,13989637305699479;9724;1
16601342024;54;87;0,00801781737193764;0,01291759465478842;-0,23404255319148939;6735;12
16777032021;59;161;0,00847092605886576;0,02311557788944724;-0,46363636363636362;6965;2
16808732024;18;73;0,00375939849624060;0,01524644945697577;-0,60439560439560436;4788;0
16908202025;102;72;0,00914142319412081;0,00645276931349704;0,17241379310344832;11158;0
16913032024;55;122;0,00445994161530976;0,00989296140123256;-0,37853107344632764;12332;11
17064312022;110;84;0,01285046728971963;0,00981308411214953;0,13402061855670103;8560;5
17112792025;63;66;0,00697906281156530;0,00731139913592556;-0,02325581395348840;9027;0
17502020;50;110;0,00689274882823270;0,01516404742211194;-0,37500000000000006;7254;2
18002017;100;145;0,00777604976671851;0,01127527216174183;-0,18367346938775506;12860;0
18002020;97;126;0,00769658017932238;0,00999761961437753;-0,13004484304932734;12603;0
18078462022;60;89;0,00630981175728257;0,00935955410663582;-0,19463087248322150;9509;1
18193952023;77;110;0,00856126306426507;0,01223037580609295;-0,17647058823529416;8994;5
182302021;157;227;0,00991787744788377;0,01433986102337334;-0,18229166666666669;15830;0
18316312024;75;106;0,01140510948905109;0,01611922141119222;-0,17127071823204423;6576;1
18562362024;61;109;0,00554898571818430;0,00991540070954244;-0,28235294117647064;10993;1
18754442023;45;62;0,00649350649350649;0,00894660894660895;-0,15887850467289721;6930;1
18895392024;308;401;0,00882749133014244;0,01149293514086727;-0,13117066290550064;34891;13
18895392025;270;353;0,00874267396302173;0,01143023669980248;-0,13322632423756015;30883;13
196172014;472;1350;0,00671303210024036;0,01920040960873832;-0,48188803512623479;70311;13
205202025;67;121;0,00755525484889490;0,01364456472710871;-0,28723404255319152;8868;3
254452017;92;235;0,00863525436455791;0,02205744321381641;-0,43730886850152911;10654;0
261722023;109;167;0,00867075013920929;0,01328454379126561;-0,21014492753623187;12571;0
274192014;50;215;0,00606134076857801;0,02606376530488544;-0,62264150943396224;8249;39
