cik_year;positive_count;negative_count;positive_prop;negative_prop;net_positive_tone;total_words;cyber_mentions
13933112013;70;113;0,006114605171208945;0,00987071977638015;-0,23497267759562834;11448;0
14016672022;51;151;0,006011315417256012;0,01779820839226780;-0,49504950495049505;8484;6
14016672023;63;131;0,006893533209322683;0,01433417222890907;-0,35051546391752575;9139;3
14283362018;62;62;0,005707972749033327;0,00570797274903333;0,00000000000000000;10862;2
14283362024;82;48;0,008186083657781770;0,00479185384845762;0,26153846153846150;10017;6
14284392024;13;65;0,002247968182604185;0,01123984091302092;-0,66666666666666663;5783;0
14292602022;48;72;0,005415773440144421;0,00812366016021663;-0,20000000000000001;8863;5
14381332020;92;71;0,009231386714830423;0,00712422235601044;0,12883435582822081;9966;0
14528572020;29;170;0,003306350473150154;0,01938205449777676;-0,70854271356783916;8771;1
14558632021;125;212;0,005601864300439186;0,00950076185354486;-0,25816023738872401;22314;4
14647902019;63;246;0,003136044601523222;0,01224550749166210;-0,59223300970873793;20089;1
14681742017;171;254;0,009549338247612666;0,01418439716312057;-0,19529411764705881;17907;1
147072023;77;103;0,010480468218320403;0,01401932761671430;-0,14444444444444443;7347;0
14889172021;158;204;0,010989775335605481;0,01418933018014885;-0,12707182320441990;14377;22
14924222024;109;77;0,008230141951072184;0,00581395348837209;0,17204301075268821;13244;1
14953202016;41;101;0,006167268351383875;0,01519253910950662;-0,42253521126760563;6648;1
15015702020;70;221;0,004527228042943992;0,01429310567843746;-0,51890034364261173;15462;13
15156732016;564;1436;0,010348813739701646;0,02634910732307015;-0,43599999999999994;54499;40
15172282023;75;236;0,007779276008712789;0,02447878850741624;-0,51768488745980712;9641;3
15431512023;98;240;0,007762991128010139;0,01901140684410646;-0,42011834319526631;12624;8
15464172019;45;196;0,004066142586066685;0,01771030993042378;-0,62655601659751037;11067;0
156152023;85;163;0,006033075448931791;0,01156930939030449;-0,31451612903225812;14089;0
15631902023;64;157;0,006001500375093774;0,01472243060765191;-0,42081447963800905;10664;3
15808082023;36;30;0,006618863761720904;0,00551571980143409;0,09090909090909087;5439;4
15845092023;66;146;0,006896551724137931;0,01525600835945664;-0,37735849056603776;9570;2
15908952022;72;261;0,004239783299964668;0,01536921446237192;-0,56756756756756754;16982;0
15908952023;84;223;0,005286676316948832;0,01403486688904273;-0,45276872964169379;15889;0
16017122018;393;1513;0,005499272360908989;0,02117149893652748;-0,58761804826862529;71464;111
16048212019;42;91;0,004112808460634548;0,00891108499804152;-0,36842105263157898;10212;3
16174062019;79;153;0,007190970325869288;0,01392681594756963;-0,31896551724137934;10986;0
16321272019;36;84;0,003904131872898818;0,00910964103676391;-0,40000000000000002;9221;1
16436152022;46;121;0,003643275780136227;0,00958339933470616;-0,44910179640718556;12626;2
16469722023;27;83;0,004228660924040720;0,01299921691464370;-0,50909090909090915;6385;0
16507292020;68;84;0,007459412022817025;0,00921456779289162;-0,10526315789473682;9116;0
16601342023;46;113;0,006050243325003288;0,01486255425489938;-0,42138364779874204;7603;7
16777032020;42;189;0,005895564289724873;0,02653003930376193;-0,63636363636363624;7124;2
16808732023;74;172;0,006702898550724637;0,01557971014492754;-0,39837398373983751;11040;0
16908202024;96;67;0,008423269281389839;0,00587874001930333;0,17791411042944780;11397;1
16913032023;88;171;0,006459663803861117;0,01255230125523013;-0,32046332046332043;13623;6
17064312021;79;72;0,009459944916776434;0,00862172194946713;0,04635761589403968;8351;6
17112792024;51;69;0,005748422001803427;0,00777727682596934;-0,14999999999999999;8872;0
17502019;73;99;0,009358974358974360;0,01269230769230769;-0,15116279069767435;7800;3
18002016;98;106;0,008516555140349352;0,00921178413139828;-0,03921568627450986;11507;0
18002019;108;125;0,008194233687405159;0,00948406676783005;-0,07296137339055794;13180;0
18078462021;1;31;0,000481231953801732;0,01491819056785371;-0,93750000000000000;2078;0
18193952022;395;1311;0,009867352801578777;0,03274961904523994;-0,53692848769050405;40031;73
182302020;189;343;0,010155284509161248;0,01842996077588523;-0,28947368421052633;18611;0
18316312023;64;118;0,009670595346025990;0,01783016016923542;-0,29670329670329670;6618;0
18562362023;64;111;0,005793952562013398;0,01004888647474199;-0,26857142857142863;11046;1
18754442022;380;1015;0,010451907473113843;0,02791759496108040;-0,45519713261648748;36357;54
18895392023;387;557;0,009140076993930234;0,01315509789565669;-0,18008474576271183;42341;14
18895392024;308;401;0,008827491330142444;0,01149293514086727;-0,13117066290550064;34891;13
196172013;452;1594;0,005971568990117846;0,02105902869523860;-0,55816226783968725;75692;12
205202024;61;113;0,007429963459196103;0,01376370280146163;-0,29885057471264365;8210;2
254452016;93;224;0,008834425762325449;0,02127861688990216;-0,41324921135646686;10527;0
261722022;115;138;0,010531135531135532;0,01263736263736264;-0,09090909090909088;10920;0
274192013;51;102;0,006510084248149093;0,01302016849629819;-0,33333333333333337;7834;0
279042018;107;92;0,010845327386985607;0,00932495438881006;0,07537688442211052;9866;5
3152932022;104;179;0,008867667121418827;0,01526261937244202;-0,26501766784452296;11728;0
3181542021;78;120;0,007489198271723476;0,01152184349495919;-0,21212121212121213;10415;2
3181542024;61;135;0,005643445277083912;0,01248959200666112;-0,37755102040816324;10809;3
3201932021;25;18;0,009678668215253582;0,00696864111498258;0,16279069767441864;2583;0
331852014;96;165;0,007047940679832611;0,01211364804346230;-0,26436781609195409;13621;4
331852015;93;164;0,007026822818284851;0,01239138647525501;-0,27626459143968873;13235;6
331852017;71;109;0,006689278311663840;0,01026945543621632;-0,21111111111111114;10614;2
331852018;89;252;0,006117679406103932;0,01732196865548529;-0,47800586510263926;14548;12
3506982014;153;184;0,012072910912964571;0,01451905626134301;-0,09198813056379816;12673;3
3531842022;20;67;0,003397316120264991;0,01138100900288772;-0,54022988505747138;5887;1
3541902019;114;181;0,006642195420381052;0,01054594185165764;-0,22711864406779664;17163;2
3541902021;104;253;0,006230902881792582;0,01515786951051465;-0,41736694677871145;16691;10
3541902022;133;242;0,006916996047430830;0,01258581235697940;-0,29066666666666663;19228;6
360292018;40;122;0,004796163069544364;0,01462829736211031;-0,50617283950617298;8340;0
405702022;40;102;0,005836859769444040;0,01488399241208230;-0,43661971830985907;6853;21
407042022;158;155;0,014261214911093058;0,01399043234949003;0,00958466453674119;11079;1
460802018;99;174;0,006700054141851652;0,01177585273416351;-0,27472527472527469;14776;0
490712018;270;310;0,014411529223378704;0,01654657058980518;-0,06896551724137927;18735;11
490712019;265;219;0,016746713852376138;0,01383973710819009;0,09504132231404958;15824;11
490712020;174;181;0,013822688274547188;0,01437877343501748;-0,01971830985915488;12588;11
490712021;154;189;0,012805587892898719;0,01571594877764843;-0,10204081632653066;12026;10
