ticker;Event_Date;CAR_10_10_post;CAR_6_6_post;CAR_2_6_post;CAR_2_post;id_2;reported_date;report_trading_day;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m;breach_size_group;market_cap_group;year_group
CMI;2023-02-14;-0,01092447491816506;-0,025637945046031490;-3,82184722281207e-04;0,009344160517320371;CMI2022;19/08/2022;19/08/2022;Industrials;Cyclical;73,600;UNKN;OTHER;114;22;2022;6;43,819178080;32527,260000;0,070992442;0,239665738;0,620724234;0,069342223;30299,00;Small;Large Cap;modern
CNDT;2021-02-24;0,14757844836663944;0,063145588163215916;1,11524174550444e-01;-0,023569385729105399;CNDT2020;25/11/2020;25/11/2020;Industrials;Cyclical;63,000;INSD;OTHER;202;22;2020;4;30,594520550;947,970780;-0,027725564;-0,099159664;1,510924370;0,105733083;4256,00;Small;Small Cap;modern
CNO;2022-02-24;-0,05828160686822429;-0,049993132077991366;-3,70445193833219e-02;-0,023694348547439813;CNO2021;21/07/2021;21/07/2021;Financials;Cyclical;3,350;HACK;HACK;232;562;2021;4;36,290410960;2734,965440;0,012180840;0,083845086;0,770633306;0,017459204;36204,40;Small;Small Cap;modern
COLD;2022-03-01;-0,02763103247310957;0,013678128141071291;1,00577251627734e-02;0,008476091677770166;COLD2021;04/03/2021;04/03/2021;Real Estate;Cyclical;16,275;HACK;HACK;126;141351;2021;5;4,504109589;9191,375580;-0,003706703;-0,007573973;0,850865219;0,010096885;8216,20;Large;Large Cap;modern
COMM;2024-02-29;-0,23426752162332293;-0,410262342339856478;1,31856171124384e-01;-0,094210108338525320;COMM2023;12/05/2023;12/05/2023;Information Technology;Sensitive;20,000;HACK;HACK;47;5485;2023;6;40,232876710;899,342160;-0,154813858;0,488715980;-3,184788467;0,053350975;9371,90;Large;Small Cap;recent
COMP;2024-02-28;-0,10010050817184980;-0,063256110217992836;-8,78128883825775e-02;-0,050386447905529291;COMP2023;21/02/2023;21/02/2023;Real Estate;Cyclical;2,549;UNKN;OTHER;111;79;2023;3;17,791780820;1881,384840;-0,276911144;-0,749475157;1,187543737;0,143842110;1160,30;Small;Small Cap;recent
COR;2024-11-26;-0,06718969608582093;0,020368355560615628;-2,07415150449031e-02;0,007903841372817036;COR2024;15/05/2024;15/05/2024;Health Care;Defensive;46,000;HACK;HACK;84;220541;2024;4;28,178082190;43265,871360;0,022490052;2,336323300;8,704892730;0,046685099;67101,67;Large;Large Cap;recent
COTY;2019-08-28;0,01741195296074236;0,047687501381998322;5,26341613543350e-02;0,017680502169369595;COTY2018;03/07/2018;03/07/2018;Consumer Staples;Defensive;19,000;HACK;HACK;172;4753;2018;3;37,816438360;10460,754000;-0,214215359;-0,825019622;1,669900584;0,019269306;17665,40;Large;Large Cap;early
CPRT;2015-09-25;-0,02272226283559750;-0,001781501064702242;-2,26703511556379e-03;-0,000970280557443209;CPRT2015;27/05/2015;27/05/2015;Industrials;Cyclical;4,267;HACK;HACK;57;4676;2015;4;30,120547950;4241,506800;0,122104923;0,227880978;0,669600939;0,253346756;1799,95;Large;Small Cap;early
CPS;2024-02-16;-0,33443327278558843;-0,218411290508635197;-9,97890055619581e-02;-0,018343553733747266;CPS2023;21/04/2023;21/04/2023;Consumer Discretionary;Cyclical;20,000;UNKN;OTHER;136;306;2023;6;39,564383560;192,606400;-0,107880739;2,484440344;-14,643382530;0,082679636;1872,30;Small;Small Cap;recent
CR;2017-02-28;-0,03001551299754785;-0,002822074456728491;6,22876134049420e-03;-0,027508099761001159;CR2016;08/06/2016;08/06/2016;Industrials;Cyclical;11,000;DISC;DISC;1;15;2016;4;0,906849315;3520,210500;0,035822637;0,108308344;0,657346975;0,148687281;3428,00;Small;Small Cap;early
CRBG;2024-02-15;-0,07901043017782262;0,003758656293265369;-5,03800482208859e-02;0,003726035837949756;CRBG2023;27/07/2023;27/07/2023;Financials;Cyclical;5,700;HACK;HACK;59;6500000;2023;5;10,512328770;11979,465280;0,002910855;0,093829679;1,011218766;0,001613626;379270,00;Large;Large Cap;recent
CSCO;2012-09-12;-0,02283730724697852;-0,014257387792911819;-3,08402255011777e-03;0,002288890792630565;CSCO2012;09/04/2012;09/04/2012;Information Technology;Sensitive;66,639;PORT;OTHER;14;4;2012;2;24,315068490;107125,560000;0,087631731;0,156787427;0,317767032;0,106790615;91759,00;Small;Large Cap;early
CTRN;2024-04-18;-0,22741004489148242;-0,067956724551465189;-2,75628299776391e-02;-0,014004473698680438;CTRN2023;22/06/2023;22/06/2023;Consumer Discretionary;Cyclical;4,800;HACK;HACK;161;5307;2023;5;6,232876712;151,523720;-0,023093339;-0,075957795;1,487907879;0,153658711;518,72;Large;Small Cap;recent
CZR;2023-02-22;0,04224888095279374;0,040860570384591392;4,32754321955801e-03;-0,025026183992601442;CZR2022;02/12/2022;02/12/2022;Consumer Discretionary;Cyclical;49,000;HACK;HACK;162;112;2022;6;3,679452055;11128,596480;-0,026814209;-0,242122273;7,039321304;0,030960122;33527,00;Small;Large Cap;modern
CZR;2024-02-20;-0,08189863138804765;-0,082482877195619780;-5,29279478993796e-02;-0,062994232906741776;CZR2023;06/10/2023;06/10/2023;Consumer Discretionary;Cyclical;51,000;HACK;HACK;48;384087;2023;6;4,421917808;9426,187680;0,023556914;0,172671353;5,667618629;0,030120482;33366,00;Large;Large Cap;recent
DAL;2019-02-15;-0,05358250850644754;-0,021406047318379286;-2,15137091356138e-02;-0,013984954722252614;DAL2018;05/04/2018;05/04/2018;Industrials;Cyclical;88,680;HACK;HACK;191;825000;2018;5;42,608219180;36621,783840;0,065293864;0,287499087;1,207496164;0,025968208;60266,00;Large;Large Cap;early
DLTR;2021-03-16;0,17233262686310927;0,062426577724539377;5,90284282160066e-02;-0,005780716643490180;DLTR2020;11/09/2020;11/09/2020;Consumer Staples;Defensive;199,327;UNKN;OTHER;126;67;2020;6;28,120547950;21062,815750;0,064838616;0,184192827;1,323198770;0,068452841;20696,00;Small;Large Cap;modern
