ticker;id_2;filing_date;reported_date;report_trading_day;gics_sector;overall_sector;employee;breach_type;breach_type2;d_since_breach;total_affected;year;weekday;year_since_ipo;market_cap_m;roa;roe;debt_to_equity;cash_ratio;total_assets_m
ABT;ABT2019;2020-02-21;06/02/2019;06/02/2019;Health Care;Defensive;107;PORT;OTHER;18;16600;2019;4;33,43835616;128856,5943;0,05431084;0,118598816;0,607887288;0,056859192;67887
VZ;VZ2024;2025-02-12;05/02/2024;05/02/2024;Communication Services;Sensitive;99,6;INSD;OTHER;137;63206;2024;2;26,31506849;177353,8605;0,045504288;0,176405978;1,696514405;0,01090169;384711
HON;HON2021;2022-02-11;30/04/2021;30/04/2021;Industrials;Cyclical;99;HACK;HACK;73;3567;2021;6;4,506849315;153326,72;0,085962463;0,298454413;0,92029727;0,16998604;64470
CAT;CAT2020;2021-02-17;10/09/2020;10/09/2020;Industrials;Cyclical;97,3;UNKN;OTHER;43;1160;2020;5;29,51232877;83262,46776;0,038276901;0,195551497;2,333050682;0,119401461;78324
HUM;HUM2021;2022-02-17;12/11/2021;12/11/2021;Health Care;Defensive;95,5;HACK;HACK;79;1965;2021;6;22,30958904;49125,0828;0,066121106;0,182400498;0,822450249;0,076513819;44358
HON;HON2023;2024-02-16;16/06/2023;16/06/2023;Industrials;Cyclical;95;HACK;HACK;20;118379;2023;6;3,950684932;132791,214;0,091962617;0,356836529;1,226728052;0,128809427;61525
BLMN;BLMN2019;2020-02-26;17/10/2019;17/10/2019;Consumer Discretionary;Cyclical;94;UNKN;OTHER;77;499;2019;5;28,20821918;1584,59085;0,036344147;0,766534384;14,67413204;0,018689375;3592,68
DAL;DAL2018;2019-02-15;05/04/2018;05/04/2018;Industrials;Cyclical;88,68;HACK;HACK;191;825000;2018;5;42,60821918;36621,78384;0,065293864;0,287499087;1,207496164;0,025968208;60266
MGM;MGM2023;2024-02-23;05/10/2023;05/10/2023;Consumer Discretionary;Cyclical;76;HACK;HACK;24;811740;2023;5;43,23287671;11481,498;0,027008431;0,300251104;8,302127431;0,069103926;42368,55
DVA;DVA2024;2025-02-13;03/07/2024;03/07/2024;Health Care;Defensive;76;DISC;DISC;2417;67443;2024;4;40,02739726;11150,2092;0,054169944;7,730569178;99,62546854;0,045989047;17285,27
TMUS;TMUS2021;2022-02-11;09/02/2021;09/02/2021;Communication Services;Sensitive;75;HACK;HACK;22;421;2021;3;11,67123288;157525,8854;0,014639601;0,043761396;1,574730109;0,032101586;206563
ABT;ABT2016;2017-02-17;19/07/2016;19/07/2016;Health Care;Defensive;75;UNKN;OTHER;27;1;2016;3;38,90136986;61993,05621;0,026582615;0,068166326;1,007108774;0,353548779;52666
