ticker;Event_Date;CAR_10_10;CAR_5_5;CAR_1_1;CAR_0_3;CAR_0_1;CARa_1_1;CAR_1_3
CRBG;27-07-2023;0,0273;0,0568;-0,0138;-0,0237;-0,0192;-0,0108;-0,0152
CRBG;13-02-2024;-0,0628;0,0402;0,0432;0,0598;0,0353;0,0242;0,0487
CSCO;09-04-2012;-0,0321;-0,0456;-0,0127;-0,0056;-0,0056;-0,0032;-0,0032
CTRN;22-06-2023;0,0988;0,1068;0,0136;0,0512;0,0125;0,0165;0,0551
CVNA;12-09-2024;-0,1426;-0,0289;-0,0221;0,0739;-0,0035;-0,0217;0,0557
CZR;02-12-2022;0,0129;0,0648;0,0271;0,0311;0,0065;0,0133;0,0379
CZR;06-10-2023;-0,0340;-0,0812;-0,0305;0,0082;-0,0186;-0,0116;0,0152
DAL;05-04-2018;-0,0178;-0,0454;-0,0097;-0,0355;-0,0001;0,0020;-0,0334
DKS;29-08-2024;-0,0678;-0,1207;-0,0090;-0,0612;-0,0061;-0,0027;-0,0577
DLTR;11-09-2020;-0,1331;-0,0337;-0,0343;-0,0280;-0,0283;-0,0253;-0,0250
DVA;03-07-2024;-0,0998;-0,0606;-0,0326;-0,0201;-0,0253;-0,0160;-0,0108
DXPE;09-10-2020;0,0603;0,0521;-0,0207;-0,0612;-0,0320;-0,0021;-0,0314
EFX;05-03-2014;0,0103;0,0188;-0,0072;0,0071;-0,0066;0,0051;0,0189
EFX;02-04-2015;-0,0319;-0,0072;-0,0013;-0,0160;-0,0024;-0,0031;-0,0167
EFX;07-09-2017;-0,3893;-0,3853;-0,1303;-0,2015;-0,1280;-0,1363;-0,2098
EFX;01-03-2018;0,0933;0,0695;0,0410;0,0737;0,0437;0,0494;0,0794
ELMD;09-08-2021;-0,0548;-0,0379;-0,0070;-0,0144;0,0047;-0,0073;-0,0264
EQBK;30-12-2021;0,0745;0,0556;-0,0092;0,0141;0,0047;0,0056;0,0150
EWCZ;25-05-2023;-0,0345;0,0112;0,0072;-0,0146;-0,0234;-0,0012;0,0076
EXEL;15-08-2013;0,0713;0,0664;0,0339;0,0683;0,0295;0,0257;0,0645
EXPE;02-03-2022;-0,0101;-0,1513;-0,0505;-0,1321;-0,0290;-0,0256;-0,1288
FBIO;18-03-2022;-0,0538;-0,1285;0,0598;-0,0212;-0,0108;-0,0343;-0,0447
FCX;08-09-2023;0,0177;0,0429;-0,0076;0,0023;0,0014;0,0131;0,0140
FFIN;21-09-2018;-0,0447;-0,0366;-0,0211;-0,0399;-0,0234;-0,0133;-0,0298
FIS;21-06-2023;0,0668;-0,0271;-0,0094;-0,0146;-0,0149;-0,0031;-0,0028
FIVE;05-10-2018;-0,1375;-0,1203;-0,0051;-0,0272;0,0033;0,0219;-0,0087
FLL;27-08-2020;0,1147;0,1257;-0,0067;0,0567;-0,0035;0,0123;0,0725
FMBH;19-01-2024;-0,1654;-0,0331;0,0143;0,0023;0,0139;0,0253;0,0137
FNF;29-07-2016;-0,0274;-0,0393;-0,0021;-0,0274;-0,0021;0,0028;-0,0224
FNF;04-05-2017;0,0447;-0,0096;0,0266;-0,0088;0,0184;0,0029;-0,0242
